name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2866691,4257380,29543185,6,22,0,10080261,7133586,3,1,true,true,0,0,false,false,0,0,0,,,3,4,
Aleks,449627572,2573936,3728633,32103732,26,33,1,11662944,6305494,5,0,true,true,0,142345,true,true,0,0,0,3,0,2,4,1
BigRed,954383636,2822881,3774049,36531471,3,42,0,14591194,6619594,5,0,true,true,0,0,true,true,0,0,0,4,4,4,4,1
Good Swimma,133824362,2536991,3099513,20552344,10,9,0,7015436,5638436,3,0,true,true,0,81781,false,false,0,0,0,4,,,,
Shorinjin,587196387,2921950,3873773,28611593,15,18,0,10220010,6800810,4,0,true,true,0,233520,false,true,0,0,0,2,,2,,1
LeGioNoFZioN,969551535,3012689,4432213,29615415,3,29,0,12018987,7451062,4,1,true,true,0,33427,false,true,0,0,0,1,3,3,,1
Will Treaty,697666146,2736529,3984473,30673554,0,25,0,10864302,6732802,3,1,true,true,0,0,false,true,0,0,0,2,,,4,1
Robbo,141299866,2044124,2915105,28116855,11,31,0,12109884,4971459,5,0,true,true,0,179274,true,true,0,0,0,3,4,3,4,1
GetSchmidtOn,323388919,2468542,3287424,21460601,5,14,0,6536407,5760907,1,2,true,true,0,0,false,false,0,0,0,,,,2,
Lapskaus,283611597,2482156,3693653,31825695,20,32,0,12303328,6179653,5,1,true,true,0,0,true,true,0,0,0,4,0,3,4,1
Amothos,854737959,2815972,4105361,30872543,9,29,0,11278861,6924186,4,1,true,true,0,62142,true,false,0,0,0,2,2,3,4,
MINI yosifkit,599257459,2983431,4083243,35519634,17,37,0,13110790,7075615,5,0,true,true,0,59078,true,true,0,0,0,1,4,3,3,1
Darthjohn,365927268,2879270,4043471,25465495,7,18,0,8767948,6926948,3,2,true,true,0,42797,false,false,0,0,0,4,,,1,
Mini Belargos,347474759,3049611,3930088,38187091,13,45,2,14287058,6837958,5,0,true,false,0,151261,true,true,141741,0,0,4,4,4,3,1
KID A,228223221,2654188,3757361,27072211,0,33,0,13920134,6419459,5,1,true,true,0,0,true,true,0,0,0,4,4,3,4,1
Ralnakor,528132337,2654707,3858629,25305926,29,18,0,8328781,6517781,3,1,true,true,0,0,false,false,0,0,0,1,4,,,
FrankWhite,825628193,2757746,3898664,25360350,10,10,0,9775282,6513082,5,0,true,false,0,121276,true,true,143328,0,0,1,0,1,1,1
chello26tt,847851959,2734855,3669169,26885041,1,15,0,9991592,6408417,4,1,true,true,0,0,false,true,0,0,0,,,3,1,1
CCSM Ricks,366384152,2495967,3520795,14582778,2,25,0,2640079,347879,2,1,false,false,0,0,false,false,3172916,2148088,347879,4,,2,,
