name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2866691,4257380,39744143,6,29,0,10200958,7136958,3,1,true,true,0,0,false,false,0,0,0,4,,,3,
Aleks,449627572,2573936,3728633,41162228,29,40,1,9058496,6325996,3,2,true,true,130960,29527,false,false,0,0,0,3,4,,,
BigRed,954383636,2822881,3774049,48644605,4,55,0,12113134,6627434,4,2,true,true,45142,0,true,false,0,0,0,4,4,4,1,
Good Swimma,133824362,2536991,3099513,26198134,10,9,0,5645790,5645790,1,2,true,true,0,0,false,false,0,0,0,,,,,
Shorinjin,587196387,2921950,3873773,35417672,35,18,0,6806079,6806079,2,1,true,true,548459,244947,false,false,0,0,0,,,,,
LeGioNoFZioN,969551535,3012689,4432213,42442772,3,41,0,12827357,7456607,4,1,true,true,0,0,false,false,0,0,0,4,4,,4,
Will Treaty,697666146,2736529,3984473,39820134,0,31,0,9146580,6743580,2,0,true,true,0,0,false,false,0,0,0,2,4,,,
Robbo,141299866,2044124,2915105,37592002,11,42,0,9475147,5034447,4,1,true,true,0,0,true,false,0,0,0,3,3,4,1,
GetSchmidtOn,323388919,2468542,3287424,21460601,5,14,0,0,0,0,0,false,false,0,0,false,false,3287424,2468542,0,,,,,
Lapskaus,283611597,2482156,3693653,40099580,22,37,0,8273885,6182385,2,1,true,true,85813,31864,false,false,0,0,0,1,4,,,
Amothos,854737959,2815972,4105361,41641703,12,38,0,10769160,6929660,3,1,true,true,45142,62142,false,false,0,0,0,2,4,,3,
MINI yosifkit,599257459,2983431,4083243,47459308,37,48,0,11939674,7091424,3,2,true,true,552145,206447,false,false,0,0,0,3,4,,4,
Darthjohn,365927268,2879270,4043471,32404098,8,18,0,6938603,6938603,1,1,true,true,0,33141,false,false,0,0,0,,,,,
Mini Belargos,347474759,3049611,3930088,54396066,14,61,3,16208975,6983225,5,1,true,true,45142,151261,true,true,0,0,0,3,4,4,4,1
KID A,228223221,2654188,3757361,37826607,1,43,0,10754396,6428646,3,1,true,true,86094,0,false,false,0,0,0,3,3,,4,
Ralnakor,528132337,2654707,3858629,34231617,30,24,0,8925691,6522691,2,1,true,true,45142,0,false,false,0,0,0,2,4,,,
FrankWhite,825628193,2757746,3898664,35729286,10,18,0,10368936,6684186,4,1,true,true,0,0,false,false,0,0,0,1,3,,4,
chello26tt,847851959,2734855,3669169,34533176,1,18,0,7648135,6408635,3,1,true,true,0,0,false,false,0,0,0,1,2,,,
CCSM Ricks,366384152,2495967,3520795,25130817,2,35,0,10548039,6029289,3,1,true,true,0,0,false,false,0,0,0,2,4,,4,
RedCloud,843885846,2372806,3425009,30481746,22,20,0,10594315,5804565,4,1,true,true,0,0,true,false,0,0,0,1,3,3,4,
ryzingTitan,844171967,2910399,4141044,34630490,0,18,0,8634233,7065233,2,2,true,true,0,0,false,false,0,0,0,1,3,,,
Humpr Glump,369555639,3194318,4897581,49419348,9,45,0,12126368,8095868,5,1,true,true,0,0,true,true,0,0,0,2,4,4,0,0
MINI Nicolas Marcheciel,925496831,2420795,3249996,42667618,32,49,1,11013083,5718833,4,2,true,true,535722,182160,true,false,0,0,0,2,2,4,4,
Veers,189341839,2667683,3595325,50503103,21,61,0,16020846,6272596,5,0,true,true,173330,56017,true,true,0,0,0,4,4,4,4,1
GeneralKenobi,537549179,2072494,3135478,41886603,0,55,1,12230231,5231981,5,1,true,true,0,0,true,true,0,0,0,4,4,4,4,0
El paso,658545697,2937241,4137322,24956209,0,11,0,7542045,7078045,3,0,true,true,0,0,false,false,0,0,0,1,,,,
Steveo,649329236,2118539,3487663,27995269,1,16,0,7499788,5619288,3,1,true,true,0,0,false,false,0,0,0,2,3,,,
Mhan'und Kota,425544887,2459296,3465890,38892481,23,40,1,10789312,5941062,4,1,true,true,77002,82824,false,false,0,0,0,3,4,,4,
MasterJ,912225591,2653301,3853883,45488139,21,52,0,11986370,6519370,4,1,true,true,131685,0,true,false,0,0,0,2,4,4,3,
