Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 403000_573500_840000_1155000 [1],P2 Ground 403000_573500_840000_1155000 [2],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Fleet 900000 [1],P3 Ground 434000_704000_1014750_1377000 [1],P3 Ground 434000_704000_1014750_1377000 [2],P3 Ground 564200_915200_1319175_1790100 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Fleet 1800000 [1],P4 Ground 464000_775500_1105000_1627500 [1],P4 Ground 464000_775500_1105000_1627500 [2],P4 Ground 464000_775500_1105000_1627500 [3],P4 Ground 603200_1008150_1436500_2115750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Veers,189341839,50503103,11003814,11914414,11564029,16020846,5,5,4,5,61,14,16,14,17,1,4,4,4,1,3,4,4,4,1,4,4,2,4,0,4,4,4,4,1,21,1,15,0,5,0,0,0,0,0
GeneralKenobi,537549179,41886603,9312422,9885267,10458683,12230231,5,5,4,5,55,13,13,13,16,3,3,4,2,1,2,4,3,3,1,1,4,4,4,0,4,4,4,4,0,0,0,0,0,0,1,0,0,0,1
El paso,658545697,24956209,5323304,2937686,9153174,7542045,4,1,4,3,11,5,0,5,1, ?, ?, ?, ?, ?,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steveo,649329236,27995269,7810102,6632571,6052808,7499788,5,5,4,3,16,7,3,1,5, ?, ?, ?, ?, ?,0,0,3,0,0,1,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0
Mhan'und Kota,425544887,38892481,8695012,8672192,10735965,10789312,5,4,4,4,40,8,9,12,11,4,0,0,3,1,4,4,1,0,0,4,0,4,4,0,3,4,0,4,0,23,11,6,2,4,1,1,0,0,0
MasterJ,912225591,45488139,9851584,11431684,12218501,11986370,5,5,4,4,52,10,14,15,13,2,4,0,3,1,3,4,3,3,1,4,4,3,4,0,2,4,4,3,0,21,1,18,0,2,0,0,0,0,0
Ghebbs,336539734,54262775,12226079,12654867,14559456,14822373,5,5,5,5,61,16,16,16,13,3,4,4,4,1,4,4,3,4,1,4,4,3,4,1,3,4,4,1,1,8,5,2,0,1,0,0,0,0,0
Sipress,617876691,42015474,10023228,10169965,10085993,11736288,3,4,4,3,41,10,11,8,12,3,3,0,4,0,4,4,3,0,0,1,0,3,4,0,4,4,4,0,0,22,2,1,0,19,0,0,0,0,0
WiseBeyond,141746547,30594045,3442787,5855147,11433453,9862658,2,5,4,3,28,7,3,10,8,3,0,0,4,0,2,0,0,0,1,1,4,0,4,1,2,2,0,4,0,25,24,1,0,0,0,0,0,0,0
MINI CT 42069,984252223,59708565,13741076,14442651,16458883,15065955,5,5,5,5,65,16,17,17,15,3,4,4,4,1,4,4,4,4,1,4,4,4,4,1,3,4,4,4,0,66,26,10,10,20,3,0,1,1,1
Lance,599615996,47865038,11548329,11586827,13469490,11260392,5,5,5,5,57,16,14,15,12,3,4,4,4,1,1,4,4,4,1,4,4,2,4,1,4,4,4,0,0,5,0,0,5,0,5,1,0,3,1
The Asset,581861662,46088448,10494271,11581713,13030169,10982295,5,5,5,3,40,9,12,11,8,1,3,0,4,1,3,4,1,3,1,1,3,2,4,1,4,0,0,4,0,3,0,3,0,0,1,1,0,0,0
MDevGuy,893219819,30336949,2195793,8928241,9913117,9299798,0,3,4,4,31,0,11,11,9,0,0,0,0,0,3,4,4,0,0,1,4,2,4,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0
JangoBear,996517736,43982892,9194062,9771698,12520104,12497028,2,4,3,3,36,3,11,12,10,0,0,0,3,0,3,4,3,0,1,4,4,4,0,0,2,4,0,4,0,63,25,20,0,18,2,2,0,0,0
Tmacc85,521812115,49905380,10522918,11225977,12778004,15378481,5,5,5,5,63,15,16,15,17,2,4,4,4,1,4,4,3,4,1,4,4,2,4,1,4,4,4,4,1,47,27,1,10,9,1,1,0,0,0
Paasan313,595451192,36390205,8188440,9360040,9736040,9105685,3,4,3,2,40,9,11,12,8, ?, ?, ?, ?, ?,2,4,4,0,1,4,4,0,4,0,4,0,0,4,0,7,2,1,4,0,0,0,0,0,0
Quigman,138974936,22358494,7937728,6269321,5721622,2429823,3,2,1,0,18,7,7,4,0,3,0,0,4,0,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0
D Fens,722948949,35998982,9478331,8475973,10688955,7355723,5,5,5,4,24,8,5,10,1,2,4,0,2,0,2,0,3,0,0,4,0,3,3,0,1,0,0,0,0,30,17,10,1,2,1,1,0,0,0
CaptainK,947951149,38050815,9078158,8796225,10774214,9402218,5,4,4,3,29,8,6,8,7,3,3,0,1,1,3,0,2,0,1,1,4,0,2,1,1,3,0,3,0,14,11,3,0,0,0,0,0,0,0
Tr1stram,548455812,52290845,10855000,10422051,14383391,16630403,5,5,5,5,55,11,11,16,17,1,1,4,4,1,4,0,3,4,0,4,4,3,4,1,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0
Ladrano,594819111,35892750,7539832,7509569,10116326,10727023,5,4,4,4,42,10,10,12,10, ?, ?, ?, ?, ?,3,3,4,0,0,4,4,0,3,1,2,3,4,0,1,23,19,1,2,1,2,0,1,1,0
Lepocalypse,971381917,33495558,8401827,9101577,8034327,7957827,3,4,1,2,24,7,9,4,4,3,4,0,0,0,3,3,3,0,0,0,0,0,4,0,2,2,0,0,0,3,0,0,0,3,0,0,0,0,0
Greatfuljed I,717658145,42751187,10835968,10189188,11141661,10584370,5,4,5,5,43,12,11,11,9,3,4,0,4,1,3,4,4,0,0,4,0,3,4,0,3,4,0,2,0,20,0,0,0,20,0,0,0,0,0
TK2618,375869453,39962459,9174176,10619743,9777490,10391050,3,4,2,3,36,9,12,5,10, ?, ?, ?, ?, ?,3,4,4,0,1,0,0,0,4,1,2,4,4,0,0,0,0,0,0,0,4,4,0,0,0
0The force is with you0,645496195,21772232,2840585,7378223,5386205,6167219,1,3,2,2,10,1,7,0,2, ?, ?, ?, ?, ?,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fishfly,182746569,38033772,3776756,10616477,9626950,14013589,2,5,4,5,38,8,12,7,11,4,4,0,0,0,4,4,4,0,0,4,0,3,0,0,1,4,4,1,1,14,0,2,10,2,5,4,0,0,1
mannabirds,563984912,31041186,,9946905,11568209,9526072,,3,4,3,28,,10,12,6,0,0,0,0,0,3,4,3,0,0,2,4,2,4,0,1,3,0,2,0,1,,0,0,1,0,,0,0,0
