name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Ladrano,594819111,1895042,2650781,9021824,3,14,0,9021824,4570924,5,1,true,true,58020,15946,true,true,0,0,0,3,3,4,3,1
MasterJ,912225591,2779367,3933911,11048678,16,13,0,11048678,6713278,5,0,true,true,0,250736,true,true,0,0,0,4,4,0,4,1
BigRed,954383636,2927582,3854546,10664928,2,12,0,10664928,6782128,5,1,true,true,45142,30256,true,true,0,0,0,3,3,4,1,1
Lapskaus,283611597,2548865,3762518,7794250,2,13,0,7794250,3805350,4,0,false,true,42832,31864,false,false,0,2506033,0,,,,,
Robbo,141299866,2101859,3030194,9656034,0,14,0,9656034,5143234,5,0,true,true,0,0,true,true,0,0,0,4,4,4,1,1
MINI Nicolas Marcheciel,925496831,2520547,3372434,9246592,0,10,0,9246592,5902192,5,0,true,true,0,0,true,true,0,0,0,2,4,0,3,1
Mhan'und Kota,425544887,2560403,3617546,9854298,3,12,0,9854298,6180398,5,0,true,true,0,87547,true,true,0,0,0,0,0,0,0,0
DirectorRik,485698314,2003965,2648188,6380863,0,6,0,6380863,4652363,3,1,true,true,0,0,false,false,0,0,0,2,4,,,
Ghebbs,336539734,3087584,4251003,11536387,2,13,0,11536387,7338587,5,0,true,true,0,61879,true,true,0,0,0,3,4,4,1,1
Lance,599615996,2873553,3721575,12084520,1,17,0,12084520,6594120,5,1,true,true,45217,0,true,true,0,0,0,4,4,4,4,1
Risis,188332254,3168101,4458913,12593360,3,16,0,12593360,7626860,5,1,true,true,45142,63254,true,true,0,0,0,4,4,4,4,0
Humpr Glump,369555639,3211386,4968676,11625862,1,10,0,11625862,8180062,5,1,true,true,0,28570,true,true,0,0,0,1,3,4,1,1
Shorinjin,587196387,3054096,4002310,10293306,6,10,0,10293306,7056406,5,0,true,true,0,158923,true,true,0,0,0,0,0,0,0,0
Nerf herder,396312689,1894263,2913021,5252226,2,1,0,5252226,4849226,4,1,true,true,0,37692,false,false,0,0,0,1,,,,
Darthjohn,365927268,2965178,4119437,8763515,0,5,0,8763515,7084615,5,0,true,true,0,0,true,true,0,0,0,0,0,0,0,0
0The force is with you0,645496195,2322040,3090079,6413701,0,2,0,6413701,5486801,2,0,true,true,0,0,false,false,0,0,0,,,,,
Fishfly,182746569,3028653,4058313,10760866,2,12,0,10760866,7086966,5,1,true,true,0,62869,true,true,0,0,0,0,0,0,0,0
CCSM Ricks,366384152,2534550,3560140,8084305,2,11,0,8084305,4468005,5,0,false,true,0,50583,true,true,0,1626685,0,2,3,4,1,1
Veers,189341839,2675693,3715939,11414543,0,16,0,11414543,6448043,5,1,true,true,0,0,true,true,0,0,0,4,4,4,4,0
Steveo,649329236,2147737,3520537,6912261,0,4,0,6912261,5669261,5,1,true,true,0,0,true,true,0,0,0,1,3,0,0,0
Sipress,617876691,2947152,4024640,10960692,3,13,0,10960692,6971792,4,0,true,true,0,90754,false,false,0,0,0,,,,,
D Fens,722948949,2992173,4094080,10552146,3,12,0,10552146,7087146,5,1,true,true,0,82999,true,true,0,0,0,4,4,4,0,0
Mini Belargos,347474759,3137836,4015460,10958296,0,12,0,10958296,7153296,5,1,true,true,0,0,true,true,0,0,0,1,4,4,3,0
Greatfuljed I,717658145,3001218,4013933,10422551,0,11,0,10422551,7015151,5,1,true,true,0,0,true,true,0,0,0,0,0,0,0,0
LeGioNoFZioN,969551535,3091414,4485497,9688376,0,6,0,9688376,7578926,3,0,true,true,0,0,false,true,0,0,0,3,,,2,1
Will Treaty,697666146,2846913,4035604,10556854,0,12,0,10556854,6882954,5,0,true,true,0,0,true,true,0,0,0,0,0,0,0,0
mannabirds,563984912,2911258,4198701,6018165,0,6,0,6018165,4201665,4,0,false,true,0,0,false,false,0,2908294,0,1,2,3,,
Amothos,854737959,2892760,4169531,10527291,0,12,0,10527291,7062291,4,1,true,true,0,0,false,false,0,0,0,4,4,4,,
TK2618,375869453,2781929,3636144,10406973,0,13,0,10406973,6418073,4,0,true,true,0,0,false,false,0,0,0,,,,,
GeneralKenobi,537549179,2156073,3192294,9274267,0,12,0,9274267,5348367,5,1,true,true,0,0,true,true,0,0,0,4,4,0,3,1
The Asset,581861662,2955474,4323068,8957442,0,5,0,8957442,7278542,5,1,true,true,0,0,true,true,0,0,0,0,0,0,0,0
MDevGuy,893219819,2244402,3439169,6275899,0,9,0,6275899,3441999,3,0,false,true,0,0,false,false,0,2241572,0,,,,,
KID A,228223221,2730641,3835476,2697292,0,7,0,2697292,355792,2,0,false,false,0,0,false,false,3479684,2374849,355792,3,,,4,
