name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Zytro,783828985,2960602,4309200,9353916,9,6,0,9353916,7272016,4,1,true,true,173923,153617,false,false,0,0,0,,,,,
Aleks,449627572,2671035,3814671,11000125,4,14,0,11000125,6500725,5,0,true,true,214595,32271,true,true,0,0,0,2,4,4,3,1
Good Swimma,133824362,2583880,3222266,6735732,7,2,0,6735732,5808832,3,0,true,true,65725,122205,false,false,0,0,0,,,,,
WiseBeyond,141746547,2385017,3946712,9221511,6,10,0,9221511,6338011,4,1,true,true,81530,104757,false,false,0,0,0,2,4,4,,
MINI CT 42069,984252223,3593496,5235622,13170217,12,14,0,13170217,8833717,5,1,true,true,589965,61645,true,true,0,0,0,3,3,4,4,0
GetSchmidtOn,323388919,2549581,3338671,7257176,8,4,0,7257176,5893276,2,0,true,true,97752,135281,false,false,0,0,0,,,,,
MINI yosifkit,599257459,3073955,4182074,10719756,4,11,0,10719756,7261206,5,0,true,true,67089,85873,true,true,0,0,0,1,4,4,2,0
JangoBear,996517736,3292162,4807276,10527735,30,8,0,10527735,8102185,4,1,true,true,608940,338329,false,false,0,0,0,3,3,,2,
Ralnakor,528132337,2784137,3919658,6498343,29,9,0,6498343,3664443,4,0,true,false,531961,296645,false,false,3039352,0,0,,,,,
FrankWhite,825628193,2877695,3976574,8048867,22,4,0,8048867,6893867,3,0,true,true,389496,192869,false,false,0,0,0,4,,,,
Tmacc85,521812115,2374480,3575615,10876585,8,15,0,10876585,5967685,5,1,true,true,195351,93279,true,true,0,0,0,2,4,4,4,1
chello26tt,847851959,2801942,3716359,7882609,2,4,0,7882609,6518709,3,1,true,true,135408,0,false,false,0,0,0,,,,,
Paasan313,595451192,2451510,3082822,8727304,28,9,0,8727304,5546904,3,0,true,true,488191,232344,false,true,0,0,0,4,,,4,1
ryzingTitan,844171967,3029524,4194134,9040368,9,6,0,9040368,7223868,5,1,true,true,218964,101935,true,true,0,0,0,1,2,3,0,0
El paso,658545697,3066660,4206362,8951922,0,5,0,8951922,7273022,3,1,true,true,0,0,false,false,0,0,0,,,,,
CaptainK,947951149,2806579,3682838,9581783,11,10,0,9581783,6489383,5,0,true,true,230297,116031,true,true,0,0,0,0,0,0,0,0
Tr1stram,548455812,2878758,4221515,12590841,30,17,0,12590841,7100441,5,0,true,true,512137,365745,true,true,0,0,0,4,4,4,4,1
